"Designator","Footprint","Quantity","Value","LCSC Part #"
"AE1","RF_Antenna-project:AKK_2.4GHz_5GHz_Left","1","AKK_2.4GHz_5GHz_Left",""
"AE2","RF_Antenna:Texas_SWRA117D_2.4GHz_Left","1","Texas_SWRA117D_2.4GHz_Left",""
"AE3","RF_Antenna-project:WYSK_2.4GHz_5GHz_Left","1","WYSK_2.4GHz_5GHz_Left",""
"AE4","RF_Antenna-project:LHDH_2.4GHz_5GHz_Left","1","LHDH_2.4GHz_5GHz_Left",""
"AE5,AE7","RF_Antenna-project:HCL_2.4GHz_5GHz_Left","2","HCL_2.4GHz_5GHz_Left",""
"AE6,AE8","RF_Antenna-project:HCL_2.4GHz_5GHz_coupling_Left","2","HCL_2.4GHz_5GHz_coupling_Left",""
"AE10","RF_Antenna-project:RainSun_AN1003_2.4GHz_5GHz","1","RainSun_AN1003_2.4GHz_5GHz",""
"H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20","MountingHole:MountingHole_3mm_Pad_Via","20","MountingHole_Pad",""
"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10","Connector_Coaxial:SMA_Molex_73251-2120_EdgeMount_Horizontal","10","Conn_Coaxial",""
"R1,R2","Resistor_SMD:R_0402_1005Metric","2","100",""
